hp,siren_min,siren_max,sinet_min,sinet_max,search_min,search_max
width,16,96,16,96,16,96
lr_G,1.4061448697390064e-05,8.128755590097567e-05,1.4441161004737428e-05,0.00046342155746412585,1e-05,0.0005
grad_clip,0.22574731846720472,4.422002910126459,0.1920700221381402,4.9900150315105,0.1,5.0
n_iterations,25000,30000,20000,30000,15000,30000
sorting_group_size,,,2,16,1,16
fourier_mapping_size,,,16,64,8,64
fourier_scale,,,0.7822082841050557,3.808373099551677,0.5,5.0
lambda_eikonal,,,1.1296591673520513e-05,0.0004967398565495867,1e-05,0.1
lambda_laplace,,,1.154580604935304e-05,0.00023269789757723698,1e-05,0.1
