network,trial,params,cf_x,psnr_db,rmse_C,mae_C,width,lr_G,grad_clip,n_iterations,sorting_group_size,fourier_mapping_size,fourier_scale,lambda_eikonal,lambda_laplace
siren,91,19009,6.36,39.812,0.4424,0.2855,96,5.97e-05,4.422,30000,,,,,
siren,20,13281,9.10,38.815,0.4962,0.3227,80,8.13e-05,2.991,25000,,,,,
siren,83,8577,14.09,38.094,0.5391,0.3430,64,8.13e-05,0.477,30000,,,,,
siren,69,4897,24.67,37.079,0.6060,0.3696,48,2.61e-05,2.922,30000,,,,,
siren,32,2241,53.91,35.774,0.7042,0.4382,32,1.41e-05,0.226,30000,,,,,
siren,78,609,198.37,32.782,0.9937,0.6544,16,1.41e-05,0.226,30000,,,,,
sinet,82,28033,4.31,35.390,0.7360,0.4489,96,4.63e-04,4.002,20000,8,48,3.049706543929588,1.1296591673520513e-05,1.154580604935304e-05
sinet,22,21889,5.52,33.949,0.8688,0.5410,96,5.35e-05,0.434,20000,2,16,3.2650911791459345,1.3561207648187324e-05,1.154580604935304e-05
sinet,21,18241,6.62,33.106,0.9574,0.5904,80,2.77e-04,0.263,30000,2,32,0.7822082841050557,0.0004967398565495867,0.00010832688814574883
sinet,75,16961,7.12,32.962,0.9733,0.6050,80,1.44e-05,2.266,25000,2,24,0.9375931653459109,2.621268779974759e-05,0.00012059009046308613
sinet,79,6273,19.26,31.619,1.1362,0.7061,32,1.66e-05,0.192,30000,8,64,1.6905002544708214,0.00011522798403028716,0.00023269789757723698
sinet,96,2369,51.00,30.867,1.2389,0.8043,16,2.77e-04,4.990,20000,16,56,0.7822082841050557,1.1296591673520513e-05,0.00010832688814574883
sinet,39,1345,89.82,29.597,1.4339,0.9371,16,1.87e-05,4.002,20000,4,24,2.7607525587016766,1.1296591673520513e-05,9.121811502316019e-05
sinet,77,1089,110.94,28.555,1.6167,1.1259,16,9.53e-05,2.922,25000,2,16,3.808373099551677,1.3561207648187324e-05,1.154580604935304e-05
